project_id,package_id,scope,dataset_id,version,project_num,title,shortname,search_column_1
210437,knb-lter-jrn.210437022.27,knb-lter-jrn,210437022,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437082.27,knb-lter-jrn,210437082,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437008.27,knb-lter-jrn,210437008,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437007.27,knb-lter-jrn,210437007,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437038.27,knb-lter-jrn,210437038,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437053.27,knb-lter-jrn,210437053,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437023.27,knb-lter-jrn,210437023,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437039.26,knb-lter-jrn,210437039,26,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437068.25,knb-lter-jrn,210437068,25,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437098.27,knb-lter-jrn,210437098,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437077.28,knb-lter-jrn,210437077,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437003.28,knb-lter-jrn,210437003,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
