id,project_id,packageid,scope,datasetid,version,resnotif_id,project_title
knb-lter-jrn.210437104,210437,knb-lter-jrn.210437104.25,knb-lter-jrn,210437104,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437103,210437,knb-lter-jrn.210437103.25,knb-lter-jrn,210437103,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437088,210437,knb-lter-jrn.210437088.25,knb-lter-jrn,210437088,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437072,210437,knb-lter-jrn.210437072.23,knb-lter-jrn,210437072,23,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437045,210437,knb-lter-jrn.210437045.24,knb-lter-jrn,210437045,24,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437060,210437,knb-lter-jrn.210437060.25,knb-lter-jrn,210437060,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437030,210437,knb-lter-jrn.210437030.24,knb-lter-jrn,210437030,24,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437075,210437,knb-lter-jrn.210437075.23,knb-lter-jrn,210437075,23,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437105,210437,knb-lter-jrn.210437105.25,knb-lter-jrn,210437105,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437090,210437,knb-lter-jrn.210437090.25,knb-lter-jrn,210437090,25,437,NPP site instrumentation on a wireless network
